model,setup,timed_batches,samples,mean_ms,median_ms,p95_ms,min_ms,max_ms,accuracy_pct,overhead_pct_vs_pytorch,strict,tail_dup_print,standalone_calls,direct_calls,fallback_calls
resnet,pytorch_original,100,10000,3.812653443813324,3.774303913116455,3.9168319702148438,2.1382720470428467,5.768127918243408,68.83,0.0,True,False,,,
resnet,custom_conv_fresh,100,10000,6.085048952102661,5.85646390914917,6.571167945861816,5.663072109222412,8.671232223510742,68.84,59.601417799372356,True,False,2121,0,0
resnet,custom_conv_cutlass_test,100,10000,6.1149283075332646,6.1303040981292725,6.4969282150268555,4.183008193969727,7.035359859466553,68.84,60.38510705597362,True,False,2121,0,0
mobilenet,pytorch_original,100,10000,9.858153610229492,8.02563190460205,20.297792434692383,5.7292799949646,22.821855545043945,74.3,0.0,True,False,,,
mobilenet,custom_conv_fresh,100,10000,13.535402240753173,12.527791976928711,21.741535186767578,12.425408363342285,26.10982322692871,74.31,37.30159597744469,True,False,3535,1717,0
mobilenet,custom_conv_cutlass_test,100,10000,13.862780427932739,12.574399948120117,21.822847366333008,12.469183921813965,26.12998390197754,74.31,40.62248343896542,True,False,3535,1717,0
shufflenet,pytorch_original,100,10000,9.551426901817322,9.301551818847656,10.769632339477539,5.414400100708008,19.385568618774414,72.64,0.0,True,False,,,
shufflenet,custom_conv_fresh,100,10000,14.837218546867371,12.46497631072998,25.468000411987305,7.48195219039917,33.98758316040039,72.62,55.34033500318509,False,False,2828,1919,909
shufflenet,custom_conv_cutlass_test,100,10000,13.715647387504578,12.246799945831299,23.105215072631836,7.607840061187744,28.69478416442871,72.62,43.597888865117554,False,False,2828,1919,909
