model,variant,setup,event_mean_ms_under_nsys,event_median_ms_under_nsys,nvtx_batch_mean_ms,nvtx_batch_total_ms,nvtx_batch_count,gpu_kernel_total_ms,gpu_kernel_count,standalone_cutlass_conv_total_ms,standalone_cutlass_conv_count,timed_batches,samples,nvtx_overhead_vs_cutlass_test_pct,event_overhead_vs_cutlass_test_pct,nvtx_overhead_vs_fresh_pct,nvtx_overhead_vs_pytorch_pct,tail_dup,tail_dup_print,runtime_tail_duplicate,runtime_tail_duplicate_print,strict,standalone_calls,direct_calls,fallback_calls,nsys_rep
resnet,pytorch_original,pytorch_original,6.435053749084473,5.8549439907073975,6.52994993,652.994993,100,159.496812,16330,0.0,0,100,10000,-22.34118474494975,-22.927264239633484,-21.556256683821573,0.0,False,False,,,True,,,,resnet_pytorch_original.nsys-rep
resnet,custom_conv_fresh,custom_conv_fresh,8.268293085098266,6.808160066604614,8.32437318,832.437318,100,578.977887,16459,436.00235,2121,100,10000,-1.0006254520063096,-0.97052907635643,0.0,27.479892943068872,False,False,False,False,True,2121,0,0,resnet_custom_conv_fresh.nsys-rep
resnet,custom_conv_cutlass_test,custom_conv_cutlass_test,8.3493257188797,6.733216047286987,8.40851088,840.851088,100,586.390003,16459,441.517052,2121,100,10000,0.0,0.0,1.0107391653481734,28.76838214898838,False,False,False,False,True,2121,0,0,resnet_custom_conv_cutlass_test.nsys-rep
resnet,intra_warp_taildup,custom_conv_cutlass_test,8.743038382530212,6.660176038742065,8.90775045,890.775045,100,613.763463,16459,463.086153,2121,100,10000,5.937312529231109,4.71550250770838,7.0080624376813505,36.41376343600846,True,False,True,False,True,2121,0,0,resnet_intra_warp_taildup.nsys-rep
mobilenet,pytorch_original,pytorch_original,14.825813102722169,12.083248138427734,14.932889869999999,1493.288987,100,1063.456396,50310,0.0,0,100,10000,-16.76829901011513,-19.458866916786587,-21.424614366390628,0.0,False,False,,,True,,,,mobilenet_pytorch_original.nsys-rep
mobilenet,custom_conv_fresh,custom_conv_fresh,19.099084968566896,16.283199310302734,19.00453908,1900.453908,100,1245.085687,35346,325.791207,3535,100,10000,5.925921099499942,3.7556546519871503,0.0,27.266317808851582,False,False,False,False,True,3535,1717,0,mobilenet_custom_conv_fresh.nsys-rep
mobilenet,custom_conv_cutlass_test,custom_conv_cutlass_test,18.40775332450867,15.552688121795654,17.9413489,1794.13489,100,1313.584121,35346,345.569929,3535,100,10000,0.0,0.0,-5.594401292893647,20.14652927993503,False,False,False,False,True,3535,1717,0,mobilenet_custom_conv_cutlass_test.nsys-rep
mobilenet,intra_warp_taildup,custom_conv_cutlass_test,18.187511434555052,15.624959945678711,17.65254046,1765.254046,100,1333.263348,35346,351.213202,3535,100,10000,-1.6097364897686206,-1.1964626321908534,-7.114082663666476,18.212486756925394,True,False,True,False,True,3535,1717,0,mobilenet_intra_warp_taildup.nsys-rep
shufflenet,pytorch_original,pytorch_original,17.70850501060486,14.905727863311768,17.82912962,1782.912962,100,470.87233,32320,0.0,0,100,10000,-16.977450868926702,-17.300800775805534,-18.16988369500224,0.0,False,False,,,True,,,,shufflenet_pytorch_original.nsys-rep
shufflenet,custom_conv_fresh,custom_conv_fresh,21.72162106513977,20.258511543273926,21.7879803,2178.79803,100,808.577545,39833,243.548151,2828,100,10000,1.4572053418952624,1.4405601637569099,0.0,22.204396761797728,False,False,False,False,False,2828,1919,909,shufflenet_custom_conv_fresh.nsys-rep
shufflenet,custom_conv_cutlass_test,custom_conv_cutlass_test,21.413151731491087,18.891871452331543,21.4750448,2147.50448,100,824.202294,39833,248.142717,2828,100,10000,0.0,0.0,-1.4362758534346654,20.449204519272545,False,False,False,False,False,2828,1919,909,shufflenet_custom_conv_cutlass_test.nsys-rep
shufflenet,intra_warp_taildup,custom_conv_cutlass_test,21.911827850341798,20.36030387878418,21.982647280000002,2198.264728,100,619.005314,39833,185.701995,2828,100,10000,2.3636853134760605,2.32883101518091,0.8934604186327411,23.296244676693313,True,False,True,False,False,2828,1919,909,shufflenet_intra_warp_taildup.nsys-rep
